idproject,title,lat,lng,total_raised,image,url,project_scope_id
1356985,The Happiness Project by Lil's Parlour,52.4076111,-1.9640366,11297.0,https://www.crowdfunder.co.uk/uploads/projects/1356985.jpg,https://www.crowdfunder.co.uk/p/happinessproject,1
1370200,Mike 'Boothy' Booth's Rehabilitation,51.4522585,-2.5924622,28312.0,https://www.crowdfunder.co.uk/uploads/projects/1370200.jpg,https://www.crowdfunder.co.uk/p/mike-boothy-booths-rehabilitation,1
1362046,Hallies fundraising for next chapter animal rescue,51.2973101,-0.7914179,35.0,https://www.crowdfunder.co.uk/uploads/projects/1362046.jpg,https://www.crowdfunder.co.uk/p/hallies-fundraising,1
1352152,The Bozeat Community Primary School Fundraiser,52.2240324,-0.6699001,117.0,https://www.crowdfunder.co.uk/uploads/projects/1352152.jpg,https://www.crowdfunder.co.uk/p/the-bozeat-community-primary-school-fundraiser,1
1362619,Hidden Planet,51.5633738,-0.0485416,2134.0,https://www.crowdfunder.co.uk/uploads/projects/1362619.jpg,https://www.crowdfunder.co.uk/p/hidden-planet,1
1364167,Recording the album 'Let her go',50.8299363,-0.3663478,180.0,https://www.crowdfunder.co.uk/uploads/projects/1364167.jpg,https://www.crowdfunder.co.uk/p/beth-sarah-let-her-go,1
1330859,"Motherhood Uncensored, a Mural & Film.",51.4475549,-2.5673698,757.0,https://www.crowdfunder.co.uk/uploads/projects/1330859.jpg,https://www.crowdfunder.co.uk/p/themotherhoodmural,1
1094324,MORE billboards to #AbolishTheMonarchy,51.5307853,-0.0933907,47120.0,https://www.crowdfunder.co.uk/uploads/projects/1094324.jpg,https://www.crowdfunder.co.uk/p/republic,1
